"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN",,,,,,,,,,,
"Stock - Categorywise - SlowMoving - Item 
 DATE : from 01-04-2024 11-09-2026 ; Location : All Location ; 
",,,,,,,,,,,
Item name,BRANDS,DEPARTMENT,CATEGORY,Branch,Item code,Total sold qty.,Item amount,Current stock,Branch ID,Business Type,State
,Smartypet,Walk Essentials,Harness & Leash Set ,URBAN PETS / MOTERA,11634,1,280.00,1,32772,BRANCH,Gujarat
Melamine Bowl Plain Extraa Samll,,,,,,1,119.00,0,,,
,Smartypet,Bowls & Water Bottle ,Bowl,URBANPETS SERVICES PRIVATE LIMITED,11630,1,119.00,0,225,DISTRIBUTION CENTER,Gujarat
Melamine Bowl Printed Medium,,,,,,1,289.00,0,,,
,Smartypet,Bowls & Water Bottle ,Bowl,URBANPETS SERVICES PRIVATE LIMITED,11628,1,289.00,0,225,DISTRIBUTION CENTER,Gujarat
Woven Bowl large 21 cm,,,,,,1,289.00,0,,,
,Smartypet,Bowls & Water Bottle ,Bowl,URBANPETS SERVICES PRIVATE LIMITED,11625,1,289.00,0,225,DISTRIBUTION CENTER,Gujarat
Woven Bowl 17 cm,,,,,,1,221.00,0,,,
,Smartypet,Bowls & Water Bottle ,Bowl,URBANPETS SERVICES PRIVATE LIMITED,11624,1,221.00,0,225,DISTRIBUTION CENTER,Gujarat
signature breeders pride 20 kg,,,,,,1,"5,399.10",0,,,
,Signature,Dog Food,Dry Food ,URBAN PETS / MOTERA,11709,1,"5,399.10",0,32772,BRANCH,Gujarat
Drools IT -Vet 10 tablet,,,,,,1,195.00,0,,,
,Drools,Medicine & Supplements ,Medicine ,URBAN PETS / MOTERA,11700,1,195.00,0,32772,BRANCH,Gujarat
Drools IT Vet suspension,,,,,,1,198.00,0,,,
,Drools,Medicine & Supplements ,Medicine ,URBAN PETS / MOTERA,11695,1,198.00,0,32772,BRANCH,Gujarat
Rope leash 1 inch 12 ft,,,,,,1,400.00,0,,,
,mahima enterprise,Walk Essentials,Leash,URBAN PETS / MOTERA,11786,1,400.00,0,32772,BRANCH,Gujarat
Biogroom econo grrom shampoo gallon,,,,,,1,"6,128.61",1,,,
,Bio Groom,Grooming,Shampoo & Conditioner ,URBAN PETS / MOTERA,11783,1,"6,128.61",1,32772,BRANCH,Gujarat
Royal canin Instinctive loaf gravy 85 gm,,,,,,1,0.13,0,,,
,Royal Canin,Cat Food,Wet Food ,URBANPETS SERVICES PRIVATE LIMITED,11777,1,0.13,0,225,DISTRIBUTION CENTER,Gujarat
vivaldis Hypoallergenic 7 kg,,,,,,1,"4,603.63",1,,,
,Vivaldis,Dog Food,Prescription Food ,URBAN PETS / MOTERA,11774,1,"4,603.63",1,32772,BRANCH,Gujarat
Basic Puffer Jacket 24 No.,,,,,,2,700.00,2,,,
,Petaholic,Clothing ,Jacket ,URBAN PETS / MOTERA,11771,1,350.00,2,32772,BRANCH,Gujarat
,Petaholic,Clothing ,Jacket ,URBANPETS SERVICES PRIVATE LIMITED,11771,1,350.00,0,225,DISTRIBUTION CENTER,Gujarat
Basic Puffer Jacket 22 No.,,,,,,2,"1,060.00",1,,,
,Petaholic,Clothing ,Jacket ,URBAN PETS / MOTERA,11770,1,760.00,0,32772,BRANCH,Gujarat
,Petaholic,Clothing ,Jacket ,URBANPETS SERVICES PRIVATE LIMITED,11770,1,300.00,1,225,DISTRIBUTION CENTER,Gujarat
Reversible W/R Jacket 30 No.,,,,,,2,"1,685.00",1,,,
,Petaholic,Clothing ,Jacket ,URBAN PETS / MOTERA,11767,1,525.00,1,32772,BRANCH,Gujarat
,Petaholic,Clothing ,Jacket ,URBANPETS SERVICES PRIVATE LIMITED,11767,1,"1,160.00",0,225,DISTRIBUTION CENTER,Gujarat
American Hoodies 26 No.,,,,,,1,300.00,1,,,
,Petaholic,Clothing ,Hoodies ,URBANPETS SERVICES PRIVATE LIMITED,11747,1,300.00,1,225,DISTRIBUTION CENTER,Gujarat
American Hoodies 22 No.,,,,,,1,300.00,1,,,
,Petaholic,Clothing ,Hoodies ,URBANPETS SERVICES PRIVATE LIMITED,11745,1,300.00,1,225,DISTRIBUTION CENTER,Gujarat
American Hoodies 20 No.,,,,,,1,249.99,1,,,
,Petaholic,Clothing ,Hoodies ,URBANPETS SERVICES PRIVATE LIMITED,11744,1,249.99,1,225,DISTRIBUTION CENTER,Gujarat
Tuxedo Tees 28 No.,,,,,,2,950.00,2,,,
,Petaholic,Clothing ,Sweater,URBAN PETS / MOTERA,11740,1,475.00,1,32772,BRANCH,Gujarat
,Petaholic,Clothing ,Sweater,URBANPETS SERVICES PRIVATE LIMITED,11740,1,475.00,1,225,DISTRIBUTION CENTER,Gujarat
Tuxedo Tees 22 No.,,,,,,2,850.00,2,,,
,Petaholic,Clothing ,Sweater,URBAN PETS / MOTERA,11739,1,425.00,2,32772,BRANCH,Gujarat
,Petaholic,Clothing ,Sweater,URBANPETS SERVICES PRIVATE LIMITED,11739,1,425.00,0,225,DISTRIBUTION CENTER,Gujarat
Cord Tees 24 No.,,,,,,1,400.00,1,,,
,Petaholic,Clothing ,Sweater,URBANPETS SERVICES PRIVATE LIMITED,11735,1,400.00,1,225,DISTRIBUTION CENTER,Gujarat
Cord Tees 20 No.,,,,,,1,350.00,1,,,
,Petaholic,Clothing ,Sweater,URBANPETS SERVICES PRIVATE LIMITED,11733,1,350.00,1,225,DISTRIBUTION CENTER,Gujarat
Cord Tees 18 No.,,,,,,1,800.00,0,,,
,Petaholic,Clothing ,Sweater,URBANPETS SERVICES PRIVATE LIMITED,11732,1,800.00,0,225,DISTRIBUTION CENTER,Gujarat
Cord Tees 16 No.,,,,,,1,350.00,0,,,
,Petaholic,Clothing ,Sweater,URBANPETS SERVICES PRIVATE LIMITED,11731,1,350.00,0,225,DISTRIBUTION CENTER,Gujarat
Slimline Denim Jacket 30 No.,,,,,,1,"1,440.00",0,,,
,Petaholic,Clothing ,Jacket ,URBANPETS SERVICES PRIVATE LIMITED,11730,1,"1,440.00",0,225,DISTRIBUTION CENTER,Gujarat
Slimline Denim Jacket 26 No.,,,,,,2,"2,089.99",1,,,
,Petaholic,Clothing ,Jacket ,URBAN PETS / MOTERA,11729,1,"1,440.00",1,32772,BRANCH,Gujarat
,Petaholic,Clothing ,Jacket ,URBANPETS SERVICES PRIVATE LIMITED,11729,1,649.99,0,225,DISTRIBUTION CENTER,Gujarat
Slimline Denim Jacket 24 No.,,,,,,2,"1,959.99",1,,,
,Petaholic,Clothing ,Jacket ,URBAN PETS / MOTERA,11728,1,"1,360.00",1,32772,BRANCH,Gujarat
,Petaholic,Clothing ,Jacket ,URBANPETS SERVICES PRIVATE LIMITED,11728,1,599.99,0,225,DISTRIBUTION CENTER,Gujarat
Slimline Denim Jacket 22 No.,,,,,,1,"1,360.00",2,,,
,Petaholic,Clothing ,Jacket ,URBAN PETS / MOTERA,11727,1,"1,360.00",2,32772,BRANCH,Gujarat
Slimline Denim Jacket 20 No.,,,,,,2,"2,044.99",1,,,
,Petaholic,Clothing ,Jacket ,URBAN PETS / MOTERA,11726,1,"1,445.00",1,32772,BRANCH,Gujarat
,Petaholic,Clothing ,Jacket ,URBANPETS SERVICES PRIVATE LIMITED,11726,1,599.99,0,225,DISTRIBUTION CENTER,Gujarat
Slimline Denim Jacket 18 No.,,,,,,2,"1,959.99",1,,,
,Petaholic,Clothing ,Jacket ,URBAN PETS / MOTERA,11725,1,599.99,1,32772,BRANCH,Gujarat
,Petaholic,Clothing ,Jacket ,URBANPETS SERVICES PRIVATE LIMITED,11725,1,"1,360.00",0,225,DISTRIBUTION CENTER,Gujarat
Double Pocket Denim Jacket 30 No.,,,,,,1,"1,280.00",0,,,
,Petaholic,Clothing ,Jacket ,URBANPETS SERVICES PRIVATE LIMITED,11724,1,"1,280.00",0,225,DISTRIBUTION CENTER,Gujarat
Double Pocket Denim Jacket 26 No.,,,,,,2,"1,149.98",2,,,
,Petaholic,Clothing ,Jacket ,URBAN PETS / MOTERA,11723,1,574.99,1,32772,BRANCH,Gujarat
,Petaholic,Clothing ,Jacket ,URBANPETS SERVICES PRIVATE LIMITED,11723,1,574.99,1,225,DISTRIBUTION CENTER,Gujarat
Double Pocket Denim Jacket 24 No.,,,,,,2,"1,620.00",1,,,
,Petaholic,Clothing ,Jacket ,URBAN PETS / MOTERA,11722,1,500.00,1,32772,BRANCH,Gujarat
,Petaholic,Clothing ,Jacket ,URBANPETS SERVICES PRIVATE LIMITED,11722,1,"1,120.00",0,225,DISTRIBUTION CENTER,Gujarat
Double Pocket Denim Jacket 20 No.,,,,,,2,"1,620.00",1,,,
,Petaholic,Clothing ,Jacket ,URBAN PETS / MOTERA,11721,1,"1,120.00",0,32772,BRANCH,Gujarat
,Petaholic,Clothing ,Jacket ,URBANPETS SERVICES PRIVATE LIMITED,11721,1,500.00,1,225,DISTRIBUTION CENTER,Gujarat
Avopea pet shampoo 200ml,,,,,,1,387.07,1,,,
,Enavant,Medicine & Supplements ,Medicine ,URBAN PETS / MOTERA,11711,1,387.07,1,32772,BRANCH,Gujarat
Tennis Ball 6 cm,,,,,,1,127.50,0,,,
,ABK,Toys,Toys,URBANPETS SERVICES PRIVATE LIMITED,11808,1,127.50,0,225,DISTRIBUTION CENTER,Gujarat
Purepet Fresh Food  Mutton Biryani 300 gm,,,,,,1,127.50,4,,,
,Purepet,Dog Food,Wet Food ,URBANPETS SERVICES PRIVATE LIMITED,11793,1,127.50,4,225,DISTRIBUTION CENTER,Gujarat
Obipet weight management tablet,,,,,,1,899.10,1,,,
,Medicines,Medicine & Supplements ,Medicine ,URBAN PETS / MOTERA,11790,1,899.10,1,32772,BRANCH,Gujarat
Truelove Dog Shoes Size 6  Blue/Lavender,,,,,,1,"2,212.50",1,,,
,True Love,Accessories,Shoes & Socks,URBANPETS SERVICES PRIVATE LIMITED,11855,1,"2,212.50",1,225,DISTRIBUTION CENTER,Gujarat
Truelove Dog Shoes Size 4 Pinecone/Glazed Ginger,,,,,,1,"2,422.50",1,,,
,True Love,Accessories,Shoes & Socks,URBAN PETS / MOTERA,11853,1,"2,422.50",1,32772,BRANCH,Gujarat
Grain zero adult 12 kg,,,,,,1,"4,500.00",0,,,
,Grain Zero,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,11844,1,"4,500.00",0,225,DISTRIBUTION CENTER,Gujarat
canilact lactulose syrup 100 ml,,,,,,1,183.29,0,,,
,mahima enterprise,Medicine & Supplements ,Supplements ,URBAN PETS / MOTERA,11862,1,183.29,0,32772,BRANCH,Gujarat
Truelove Dog Shoes Size 8  Pinecone/ Glazed Ginger,,,,,,2,"4,720.00",0,,,
,True Love,Accessories,Shoes & Socks,URBAN PETS / MOTERA,11858,1,"2,360.00",0,32772,BRANCH,Gujarat
